Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Season,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Shelled/Unshelled,Purchase Lot Size,Section or Sale,Import/Export,Supply Tone,Demand Tone,Basis of Sale,Market Tone,Price Comment,Comments,Rpt City
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,,,,,10/30/15,,,,,2015,,,,,,,,,,,,,LIGHT.,,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,through the week of November 15. LAST REPORT,Extra services included. Quality and condition variable.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/15/15,7.95,9.95,7.95,7.95,2015,xlge,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/15/15,7.95,9.95,7.95,7.95,2015,lge,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/15/15,7.95,9.95,7.95,7.95,2015,med,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,FIRST REPORT,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/16/15,6.95,7.95,,,2015,xlge,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,occasional higher,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/16/15,6.95,7.95,,,2015,lge,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,occasional higher,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/16/15,6.95,7.95,,,2015,med,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,occasional higher,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/17/15,6.95,7.95,,,2015,xlge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/17/15,6.95,7.95,,,2015,lge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/17/15,6.95,7.95,,,2015,med,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/18/15,6.95,7.95,,,2015,xlge,,,,,,,,,,,,,"EXTRA LARGE FAIRLY LIGHT, OTHERS MODERATE.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,few 5.95,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/18/15,6.95,7.95,,,2015,lge,,,,,,,,,,,,,"EXTRA LARGE FAIRLY LIGHT, OTHERS MODERATE.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/18/15,6.95,7.95,,,2015,med,,,,,,,,,,,,,"EXTRA LARGE FAIRLY LIGHT, OTHERS MODERATE.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/19/15,5.95,6.95,6.95,6.95,2015,xlge,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/19/15,5.95,6.95,,,2015,lge,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/19/15,5.95,6.95,,,2015,med,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/22/15,5.95,6.95,,,2015,xlge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE LOWER, OTHERS ABOUT STEADY.",few 7.95,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/22/15,5.95,6.95,,,2015,lge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE LOWER, OTHERS ABOUT STEADY.",occasional higher,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/22/15,5.95,6.95,,,2015,med,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE LOWER, OTHERS ABOUT STEADY.",occasional higher,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/24/15,5.95,6.95,,,2015,xlge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE ABOUT STEADY, OTHERS LOWER.",,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/24/15,5.95,6.95,5.95,5.95,2015,lge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE ABOUT STEADY, OTHERS LOWER.",,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/24/15,5.95,6.95,5.95,5.95,2015,med,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE ABOUT STEADY, OTHERS LOWER.",,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/25/15,5.95,6.95,5.95,5.95,2015,xlge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE LOWER, OTHERS ABOUT STEADY.",occasional lower,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/25/15,5.95,6.95,5.95,5.95,2015,lge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE LOWER, OTHERS ABOUT STEADY.",occasional lower,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/25/15,5.95,6.95,5.95,5.95,2015,med,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","EXTRA LARGE LOWER, OTHERS ABOUT STEADY.",occasional lower,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/26/15,5.95,6.95,5.95,5.95,2015,xlge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,occasional lower,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/26/15,5.95,6.95,5.95,5.95,2015,lge,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,occasional lower,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/26/15,5.95,6.95,5.95,5.95,2015,med,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,occasional lower,Extra services included.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/29/15,5.95,6.95,6.95,6.95,2015,xlge,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","MEDIUM ABOUT STEADY, OTHERS HIGHER.",few 7.95,Extra services included. Quality variable.,"PHOENIX, AZ"
TOMATOES,CENTRAL DISTRICT CALIFORNIA,,25 lb cartons loose,MATURE GREENS,,,6/29/15,5.95,6.95,,,2015,lge,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","MEDIUM ABOUT STEADY, OTHERS HIGHER.",,Extra services included. Quality variable.,"PHOENIX, AZ"
